order_id,house_number,road,suburb,state_district,state,postcode,city
6a0f322ade1a05e5c4cec4344efbce8b,21,улица Верхняя Масловка,Савёловский район,Северный административный округ,Москва,127083,
934ecbe5845426fd3f8ef7938cce2a11,11 к3,Мосфильмовская улица,район Раменки,Западный административный округ,Москва,119330,
5348cb339b63eaea3b2cb57a064ce550,11 к3,Мосфильмовская улица,район Раменки,Западный административный округ,Москва,119330,
309ef91c3b51e27d097642169576f67b,29,улица Раменки,Проспект Вернадского,Западный административный округ,Москва,119607,район Проспект Вернадского
3506e04e45d39c6e3033637389da1041,1 к3,Болотниковская улица,Нагорный,Южный административный округ,Москва,115419,Нагорный район
b595bef96e4474cf10a7f7edfff65c40,11 к3,Мосфильмовская улица,район Раменки,Западный административный округ,Москва,119330,
46dc262557a8ceb32192c185f101b663,22/39,Зубовский бульвар,Плющиха,Центральный административный округ,Москва,119034,Москва
653cf22cc3ec75e86bd5732b35e3c211,17 с1,улица Преображенский Вал,Преображенское,Восточный административный округ,Москва,105187,район Преображенское
50e9b507e5da727434b01e969c02ab48,9,Ермолаевский переулок,Кудрино,Центральный административный округ,Москва,123001,Москва
c916745529bbcfbf0e42dcac65fa31dc,2А,Ленинский проспект,район Якиманка,Центральный административный округ,Москва,119049,
abad20230c51e45d8c87a062570ce712,13 к4,улица Строителей,Ломоносовский,Юго-Западный административный округ,Москва,119311,Ломоносовский район
c47cc923adfdafdf33ea187da9382277,13 к4,улица Строителей,Ломоносовский,Юго-Западный административный округ,Москва,119311,Ломоносовский район
99afeb1b4d8a221e8934bff833fde953,13 к4,улица Строителей,Ломоносовский,Юго-Западный административный округ,Москва,119311,Ломоносовский район
c17e7fbf8278f1afe2ffd9d51b95722d,37А к14 с6,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
b588d430a9f026e1bbb24e033bf80eda,13 к4,улица Строителей,Ломоносовский,Юго-Западный административный округ,Москва,119311,Ломоносовский район
f9669ba7ab8840bbab3eb76240bdc279,85 к2,улица Удальцова,Проспект Вернадского,Западный административный округ,Москва,119607,район Проспект Вернадского
d355a64773ec843038aa2313ffb2eff8,37А к14 с6,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
97a6c5539624273385607fea47d855af,22/39,Зубовский бульвар,Плющиха,Центральный административный округ,Москва,119034,Москва
30bb97b8ac7ec8c4fa7ac7339cfea072,13 к4,улица Строителей,Ломоносовский,Юго-Западный административный округ,Москва,119311,Ломоносовский район
f390eb8a77e04894a0d846f97bc332a0,37А к14 с6,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
4d3ee037d7caafdfcc7ab1fdff209552,13 к4,улица Строителей,Ломоносовский,Юго-Западный административный округ,Москва,119311,Ломоносовский район
39bdc8b9914e0aacb00d5e33c670b852,85 к2,улица Удальцова,Проспект Вернадского,Западный административный округ,Москва,119607,район Проспект Вернадского
a98dce990267b1a1751cc0dd69623687,37А к14 с6,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
6bcf27dce6626fd4dd2312d0c11fe58e,13 к4,улица Строителей,Ломоносовский,Юго-Западный административный округ,Москва,119311,Ломоносовский район
41ebd17b51907997da564fca2b51b6fb,37А к14 с6,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
7cf268d42db5719d28a4cb2a9e85ebe3,13 к4,улица Строителей,Ломоносовский,Юго-Западный административный округ,Москва,119311,Ломоносовский район
1eb52d07b9550492c270b60fe8972f75,39 с79,Ленинградский проспект,Хорошёвский район,Северный административный округ,Москва,125167,
1999d76e317b2437929c7262d84f8a7a,5 к2,улица Маяковского,Железнодорожный,,Московская область,143989,Балашиха
98e0aaf38610dee92aabd9f5435887ed,18 к7,проспект Андропова,,Южный административный округ,Москва,115114,Даниловский район
13796a188cfe20cce179cdd5ad604f77,5 к2,улица Маяковского,Железнодорожный,,Московская область,143989,Балашиха
d5034cdfe0f02ae1fdf6ef7d3b46841a,18 к7,проспект Андропова,,Южный административный округ,Москва,115114,Даниловский район
5ee3821205e8dd3a9d95d2db8a228693,11 к1,улица Введенского,Коньково,Юго-Западный административный округ,Москва,117342,район Коньково
2c08a9d1e17bc1f66c4b265fd74f99a7,13 к1,улица Намёткина,район Черёмушки,Юго-Западный административный округ,Москва,117420,район Черёмушки
920df9815e3d1381dd623afca8095787,18,1-й Самотёчный переулок,Тверской район,Центральный административный округ,Москва,127473,
8d277afb3f1ff63a1d13612c4a1ae913,7,улица Бутырский Вал,Тверской район,Центральный административный округ,Москва,125047,
007fd29ec3e4fdcf274e4b65f212386e,,улица Комдива Орлова,Марфино,Северо-Восточный административный округ,Москва,127106,район Марфино
59301dbcca0d5edfe669004b0ea3f6fe,,улица Комдива Орлова,Марфино,Северо-Восточный административный округ,Москва,127106,район Марфино
bf8304d7a8107b8887f845def9036928,,улица Комдива Орлова,Марфино,Северо-Восточный административный округ,Москва,127106,район Марфино
3a3cf4d9bef417881e1a6944eb15fcda,4А,улица Черняховского,Аэропорт,Северный административный округ,Москва,125319,район Аэропорт
4ca09645afc360763972ccb773d1d16f,,Ленинградский проспект,Аэропорт,Северный административный округ,Москва,125319,район Аэропорт
49e940d5d233f6b1adeb9cb34a6b74b0,9 к1,улица Клары Цеткин,Коптево,Северный административный округ,Москва,127299,район Коптево
822cc8484aabf943386d95137400743c,,улица Комдива Орлова,Марфино,Северо-Восточный административный округ,Москва,127106,район Марфино
94036656a7a6e86bde42fb6250a7236c,,Профессиональная улица,,,Московская область,141800,городское поселение Дмитров
f8e91855b02849e92a0856e0a9a6d831,,улица Комдива Орлова,Марфино,Северо-Восточный административный округ,Москва,127106,район Марфино
